rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
5109,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,5114,0.0-0.0,11458,List1A,black,man,,,,,,,,
102711,,,external-html,1,108973,0.0-1.0,11458,List1A,black,man,consent.html,,,,,,,
25650,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,134628,0.0-2.0,11458,List1A,black,man,,,,,,,,
57021,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,192654,0.0-3.0-0.0,11458,List1A,black,man,,,,,,,,
19259,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,4,212918,0.0-3.0-1.0,11458,List1A,black,man,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,5,214435,0.0-3.0-2.0-0.0,11458,List1A,black,man,,,,null,,,,
10801,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,6,225246,0.0-3.0-4.0,11458,List1A,black,man,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,7,226765,0.0-3.0-5.0-0.0,11458,List1A,black,man,,,,null,,,,
11446,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,8,238219,0.0-3.0-7.0,11458,List1A,black,man,,TRUE,3,,,,,
null,CORRECT,,html-keyboard-response,9,239730,0.0-3.0-8.0-0.0,11458,List1A,black,man,,,,null,,,,
18442,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,10,258183,0.0-3.0-10.0,11458,List1A,black,man,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,11,259702,0.0-3.0-11.0-0.0,11458,List1A,black,man,,,,null,,,,
24460,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,12,284174,0.0-3.0-13.0,11458,List1A,black,man,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,13,285692,0.0-3.0-14.0-0.0,11458,List1A,black,man,,,,null,,,,
22810,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",6,html-button-response,14,308511,0.0-3.0-16.0,11458,List1A,black,man,,TRUE,4,,,,,
6720,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,15,316242,0.0-3.0-18.0-0.0,11458,List1A,black,man,,FALSE,4,,,,,
null,CORRECT,,html-keyboard-response,16,317751,0.0-3.0-18.0-1.0-0.0,11458,List1A,black,man,,,,null,,,,
12991,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,17,330747,0.0-3.0-19.0,11458,List1A,black,man,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,18,332252,0.0-3.0-20.0-0.0,11458,List1A,black,man,,,,null,,,,
10275,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,19,342532,0.0-3.0-22.0,11458,List1A,black,man,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,20,344050,0.0-3.0-23.0-0.0,11458,List1A,black,man,,,,null,,,,
4264,<p>You got 7 out of 8 right first time. Press Continue.</p>,0,html-button-response,21,348323,0.0-3.0-25.0,11458,List1A,black,man,,,,,,,,
7973,"As you did not score 100%, the memory game will repeat. Press Continue.",0,html-button-response,22,357311,0.0-3.0-26.0-0.0,11458,List1A,black,man,,,,,,,,
16529,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,23,374844,0.0-3.1-0.1,11458,List1A,black,man,,,,,,,,
15481,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,24,391334,0.0-3.1-1.1,11458,List1A,black,man,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,25,392853,0.0-3.1-2.1-0.1,11458,List1A,black,man,,,,null,,,,
10053,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,26,402917,0.0-3.1-4.1,11458,List1A,black,man,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,27,404436,0.0-3.1-5.1-0.1,11458,List1A,black,man,,,,null,,,,
