"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","condition","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"1378","","","survey-likert-extra-labels","26","108700","0.0-13.0-1.0-0.0","37247","1B","conjoined","woman","","","W2 and W4 are touching each other","touch1","rating_causation","{""Q0"":3}","[0]","W2 asked to touch W4","W4 asked to touch W2"
"1749","","","survey-likert-extra-labels","27","110450","0.0-13.0-2.0","37247","1B","conjoined","woman","","","W2 and W4 are touching each other","touch1","rating_volition","{""Q0"":3}","[0]","W2 wanted to touch W4","W4 wanted to touch W2"
"null","Ruth and Mike are talking to each other","","html-keyboard-response","28","112452","0.0-14.0-0.0","37247","1B","conjoined","woman","","null","W2 and M4 are talking to each other","talk3","sentence","","","",""
"22791","","","survey-likert-extra-labels","29","135244","0.0-14.0-2.0","37247","1B","conjoined","woman","","","W2 and M4 are talking to each other","talk3","rating_volition","{""Q0"":3}","[0]","W2 wanted to talk to M4","M4 wanted to talk to W2"
"1695","","","survey-likert-extra-labels","30","136941","0.0-14.0-3.0-0.0","37247","1B","conjoined","woman","","","W2 and M4 are talking to each other","talk3","rating_causation","{""Q0"":3}","[0]","W2 started a conversation with M4","M4 started a conversation with W2"
"null","Jane and Luke are arguing with each other","","html-keyboard-response","31","138942","0.0-15.0-0.0","37247","1B","conjoined","woman","","null","W4 and M2 are arguing with each other","argue4","sentence","","","",""
"1560","","","survey-likert-extra-labels","32","140504","0.0-15.0-1.0-0.0","37247","1B","conjoined","woman","","","W4 and M2 are arguing with each other","argue4","rating_causation","{""Q0"":3}","[0]","M2 started an argument with W4","W4 started an argument with M2"
"1555","","","survey-likert-extra-labels","33","142062","0.0-15.0-2.0","37247","1B","conjoined","woman","","","W4 and M2 are arguing with each other","argue4","rating_volition","{""Q0"":3}","[0]","M2 wanted to argue with W4","W4 wanted to argue with M2"
"null","Fred and Beth are marrying each other","","html-keyboard-response","34","144065","0.0-16.0-0.0","37247","1B","conjoined","woman","","null","M1 and W3 are marrying each other","marry4","sentence","","","",""
"6506","","","survey-likert-extra-labels","35","150573","0.0-16.0-1.0-0.0","37247","1B","conjoined","woman","","","M1 and W3 are marrying each other","marry4","rating_causation","{""Q0"":3}","[0]","W3 asked to marry M1","M1 asked to marry W3"
"59301","","","survey-likert-extra-labels","36","209874","0.0-16.0-2.0","37247","1B","conjoined","woman","","","M1 and W3 are marrying each other","marry4","rating_volition","{""Q0"":3}","[0]","W3 wanted to marry M1","M1 wanted to marry W3"
"null","Ruth and Jane are playing with each other","","html-keyboard-response","37","211877","0.0-17.0-0.0","37247","1B","conjoined","woman","","null","W2 and W4 are playing with each other","play1","sentence","","","",""
"29298.99999999997","","","survey-likert-extra-labels","38","241177","0.0-17.0-2.0","37247","1B","conjoined","woman","","","W2 and W4 are playing with each other","play1","rating_volition","{""Q0"":3}","[0]","W2 wanted to play with W4","W4 wanted to play with W2"
"4811.000000000029","","","survey-likert-extra-labels","39","245990","0.0-17.0-3.0-0.0","37247","1B","conjoined","woman","","","W2 and W4 are playing with each other","play1","rating_causation","{""Q0"":3}","[0]","W2 asked to play with W4","W4 asked to play with W2"
"null","Ruth is carrying Jane","","html-keyboard-response","40","247992","0.0-18.0-0.0","37247","1B","conjoined","woman","","null","W2 is carrying W4","carry","sentence","","","",""
"2708","","","survey-likert-extra-labels","41","250702","0.0-18.0-2.0","37247","1B","conjoined","woman","","","W2 is carrying W4","carry","rating_volition","{""Q0"":0}","[0]","W2 is transporting W4","W4 is transporting W2"
