rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,condition,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
2308,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,2313,0.0-0.0,4342,4B,conjoined,woman,,,,,,,,,
10888,,,external-html,1,14277,0.0-1.0,4342,4B,conjoined,woman,consent.html,,,,,,,,
7114,"<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>",0,html-button-response,2,21394,0.0-2.0,4342,4B,conjoined,woman,,,,,,,,,
2297,"<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>",0,html-button-response,3,24693,0.0-3.0,4342,4B,conjoined,woman,,,,,,,,,
null,The police officer is arresting the robber,,html-keyboard-response,4,27700,0.0-4.0,4342,4B,conjoined,woman,,null,,,,,,,
22137,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,html-button-response,5,49840,0.0-5.0,4342,4B,conjoined,woman,,,,,,,,,
3697,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,html-button-response,6,54541,0.0-6.0,4342,4B,conjoined,woman,,,,,,,,,
null,Ruth is carrying Jane,,html-keyboard-response,7,57548,0.0-7.0-0.0,4342,4B,conjoined,woman,,null,W2 is carrying W4,carry,sentence,,,,
9318,,,survey-likert-extra-labels,8,66879,0.0-7.0-1.0-0.0,4342,4B,conjoined,woman,,,W2 is carrying W4,carry,rating_causation,"{""Q0"":2}",[0],W2 is being moved by W4,W4 is being moved by W2
6952,,,survey-likert-extra-labels,9,73836,0.0-7.0-2.0,4342,4B,conjoined,woman,,,W2 is carrying W4,carry,rating_volition,"{""Q0"":2}",[0],W2 is transporting W4,W4 is transporting W2
