"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","condition","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"10000","","","survey-likert-extra-labels","26","425807","0.0-13.0-2.0","37336","1B","conjoined","man","","","M2 and W4 are dancing with each other","dance4","rating_volition","{""Q0"":2}","[0]","M2 wanted to dance with W4","W4 wanted to dance with M2"
"14168","","","survey-likert-extra-labels","27","439980","0.0-13.0-3.0-0.0","37336","1B","conjoined","man","","","M2 and W4 are dancing with each other","dance4","rating_causation","{""Q0"":2}","[0]","M2 asked W4 to dance","W4 asked M2 to dance"
"null","Luke and Mike are flirting with each other","","html-keyboard-response","28","441984","0.0-14.0-0.0","37336","1B","conjoined","man","","null","M2 and M4 are flirting with each other","flirt2","sentence","","","",""
"13277","","","survey-likert-extra-labels","29","455267","0.0-14.0-2.0","37336","1B","conjoined","man","","","M2 and M4 are flirting with each other","flirt2","rating_volition","{""Q0"":2}","[0]","M2 wanted to flirt with M4","M4 wanted to flirt with M2"
"23515.00000000006","","","survey-likert-extra-labels","30","478788","0.0-14.0-3.0-0.0","37336","1B","conjoined","man","","","M2 and M4 are flirting with each other","flirt2","rating_causation","{""Q0"":1}","[0]","M2 started flirting with M4 first","M4 started flirting with M2 first"
"null","Luke is reminding Jane","","html-keyboard-response","31","480793","0.0-15.0-0.0","37336","1B","conjoined","man","","null","M2 is reminding W4","remind","sentence","","","",""
"24885","","","survey-likert-extra-labels","32","505683","0.0-15.0-1.0-0.0","37336","1B","conjoined","man","","","M2 is reminding W4","remind","rating_causation","{""Q0"":2}","[0]","M2 is remembering","W4 is remembering"
"19846","","","survey-likert-extra-labels","33","525534","0.0-15.0-2.0","37336","1B","conjoined","man","","","M2 is reminding W4","remind","rating_volition","{""Q0"":2}","[0]","M2 is telling W4 again","W4 is telling M2 again"
"null","Fred and Dave are shouting at each other","","html-keyboard-response","34","527538","0.0-16.0-0.0","37336","1B","conjoined","man","","null","M1 and M3 are shouting at each other","shout2","sentence","","","",""
"13049","","","survey-likert-extra-labels","35","540592","0.0-16.0-1.0-0.0","37336","1B","conjoined","man","","","M1 and M3 are shouting at each other","shout2","rating_causation","{""Q0"":1}","[0]","M1 shouted at M3 first","M3 shouted at M1 first"
