rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
9588.200000017881,NA,NA,NA,NA,survey-likert-extra-labels,17,88524,0.0-10.0-1.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M4 is being seduced by M2,seduce2,rating_causation,"{""Q0"":5}",[0],M4 started seducing M2 first,M2 started seducing M4 first
6019.4000000059605,NA,NA,NA,NA,survey-likert-extra-labels,18,94546,0.0-10.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M4 is being seduced by M2,seduce2,rating_volition,"{""Q0"":5}",[0],M4 wanted to seduce M2,M2 wanted to seduce M4
null,Beth is being touched by Jane,NA,NA,NA,html-keyboard-response,19,96551,0.0-11.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,W4 is being touched by W2,touch1,sentence,NA,NA,NA,NA
3520.4000000059605,NA,NA,NA,NA,survey-likert-extra-labels,20,100073,0.0-11.0-1.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W4 is being touched by W2,touch1,rating_causation,"{""Q0"":5}",[0],W4 asked to touch W2,W2 asked to touch W4
2230.5,NA,NA,NA,NA,survey-likert-extra-labels,21,102305,0.0-11.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W4 is being touched by W2,touch1,rating_volition,"{""Q0"":5}",[0],W4 wanted to touch W2,W2 wanted to touch W4
null,Beth is being opposed by Mike,NA,NA,NA,html-keyboard-response,22,104308,0.0-12.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,W4 is being opposed by M2,oppose4,sentence,NA,NA,NA,NA
3285.4000000059605,NA,NA,NA,NA,survey-likert-extra-labels,23,107595,0.0-12.0-1.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W4 is being opposed by M2,oppose4,rating_causation,"{""Q0"":5}",[0],W4 started opposing M2,M2 started opposing W4
2571.9000000059605,NA,NA,NA,NA,survey-likert-extra-labels,24,110170,0.0-12.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W4 is being opposed by M2,oppose4,rating_volition,"{""Q0"":5}",[0],W4 wanted to oppose M2,M2 wanted to oppose W4
null,Dave is being shouted at by Jane,NA,NA,NA,html-keyboard-response,25,112173,0.0-13.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,M4 is being shouted at by W2,shout4,sentence,NA,NA,NA,NA
2628,NA,NA,NA,NA,survey-likert-extra-labels,26,114803,0.0-13.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M4 is being shouted at by W2,shout4,rating_volition,"{""Q0"":5}",[0],M4 wanted to shout at W2,W2 wanted to shout at M4
1483.9000000059605,NA,NA,NA,NA,survey-likert-extra-labels,27,116290,0.0-13.0-3.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M4 is being shouted at by W2,shout4,rating_causation,"{""Q0"":5}",[0],M4 shouted at W2 first,W2 shouted at M4 first
null,Mike is being kissed by Beth,NA,NA,NA,html-keyboard-response,28,118292,0.0-14.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,M2 is being kissed by W4,kiss3,sentence,NA,NA,NA,NA
3093.2000000178814,NA,NA,NA,NA,survey-likert-extra-labels,29,121386,0.0-14.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M2 is being kissed by W4,kiss3,rating_volition,"{""Q0"":1}",[0],W4 wanted to kiss M2,M2 wanted to kiss W4
3325,NA,NA,NA,NA,survey-likert-extra-labels,30,124714,0.0-14.0-3.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M2 is being kissed by W4,kiss3,rating_causation,"{""Q0"":1}",[0],W4 asked to kiss M2,M2 asked to kiss W4
null,Ruth is being kissed by Kate,NA,NA,NA,html-keyboard-response,31,126721,0.0-15.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,W1 is being kissed by W3,kiss1,sentence,NA,NA,NA,NA
7279.5,NA,NA,NA,NA,survey-likert-extra-labels,32,134002,0.0-15.0-1.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W1 is being kissed by W3,kiss1,rating_causation,"{""Q0"":1}",[0],W3 asked to kiss W1,W1 asked to kiss W3
5485.5999999940395,NA,NA,NA,NA,survey-likert-extra-labels,33,139490,0.0-15.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W1 is being kissed by W3,kiss1,rating_volition,"{""Q0"":1}",[0],W3 wanted to kiss W1,W1 wanted to kiss W3
null,Ruth is being challenged by Fred,NA,NA,NA,html-keyboard-response,34,141494,0.0-16.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,W1 is being challenged by M3,challenge3,sentence,NA,NA,NA,NA
1905.4000000059605,NA,NA,NA,NA,survey-likert-extra-labels,35,143401,0.0-16.0-1.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W1 is being challenged by M3,challenge3,rating_causation,"{""Q0"":5}",[0],W1 started challenging M3 first,M3 started challenging W1 first
3397.5999999940395,NA,NA,NA,NA,survey-likert-extra-labels,36,146801,0.0-16.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W1 is being challenged by M3,challenge3,rating_volition,"{""Q0"":5}",[0],W1 wanted to challenge M3,M3 wanted to challenge W1
null,Luke is being seduced by Kate,NA,NA,NA,html-keyboard-response,37,148805,0.0-17.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,M1 is being seduced by W3,seduce3,sentence,NA,NA,NA,NA
2850.4000000059605,NA,NA,NA,NA,survey-likert-extra-labels,38,151657,0.0-17.0-1.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M1 is being seduced by W3,seduce3,rating_causation,"{""Q0"":5}",[0],M1 started seducing W3 first,W3 started seducing M1 first
4302,NA,NA,NA,NA,survey-likert-extra-labels,39,155961,0.0-17.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M1 is being seduced by W3,seduce3,rating_volition,"{""Q0"":5}",[0],M1 wanted to seduce W3,W3 wanted to seduce M1
null,Beth is being shouted at by Mike,NA,NA,NA,html-keyboard-response,40,157970,0.0-18.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,W4 is being shouted at by M2,shout3,sentence,NA,NA,NA,NA
2771.7000000178814,NA,NA,NA,NA,survey-likert-extra-labels,41,160743,0.0-18.0-1.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W4 is being shouted at by M2,shout3,rating_causation,"{""Q0"":5}",[0],W4 shouted at M2 first,M2 shouted at W4 first
1991.199999988079,NA,NA,NA,NA,survey-likert-extra-labels,42,162737,0.0-18.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W4 is being shouted at by M2,shout3,rating_volition,"{""Q0"":5}",[0],W4 wanted to shout at M2,M2 wanted to shout at W4
null,Luke is being touched by Kate,NA,NA,NA,html-keyboard-response,43,164740,0.0-19.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,M1 is being touched by W3,touch3,sentence,NA,NA,NA,NA
2082.5999999940395,NA,NA,NA,NA,survey-likert-extra-labels,44,166824,0.0-19.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M1 is being touched by W3,touch3,rating_volition,"{""Q0"":5}",[0],M1 wanted to touch W3,W3 wanted to touch M1
1312,NA,NA,NA,NA,survey-likert-extra-labels,45,168138,0.0-19.0-3.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M1 is being touched by W3,touch3,rating_causation,"{""Q0"":5}",[0],M1 asked to touch W3,W3 asked to touch M1
null,Fred is being copied by Ruth,NA,NA,NA,html-keyboard-response,46,170144,0.0-20.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,M3 is being copied by W1,copy4,sentence,NA,NA,NA,NA
2046.800000011921,NA,NA,NA,NA,survey-likert-extra-labels,47,172192,0.0-20.0-1.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M3 is being copied by W1,copy4,rating_causation,"{""Q0"":1}",[0],W1 started copying M3 first,M3 started copying W1 first
1699,NA,NA,NA,NA,survey-likert-extra-labels,48,173893,0.0-20.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M3 is being copied by W1,copy4,rating_volition,"{""Q0"":1}",[0],W1 wanted to copy M3,M3 wanted to copy W1
null,Ruth is chasing Kate,NA,NA,NA,html-keyboard-response,49,175900,0.0-21.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,W1 is chasing W3,chase,sentence,NA,NA,NA,NA
3858.5999999940395,NA,NA,NA,NA,survey-likert-extra-labels,50,179759,0.0-21.0-1.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W1 is chasing W3,chase,rating_causation,"{""Q0"":5}",[0],W1 is running away from W3,W3 is running away from W1
8499.40000000596,NA,NA,NA,NA,survey-likert-extra-labels,51,188262,0.0-21.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W1 is chasing W3,chase,rating_volition,"{""Q0"":0}",[0],W1 is behind W3,W3 is behind W1
null,Luke is driving Fred,NA,NA,NA,html-keyboard-response,52,190268,0.0-22.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,M1 is driving M3,drive,sentence,NA,NA,NA,NA
7155,NA,NA,NA,NA,survey-likert-extra-labels,53,197424,0.0-22.0-1.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M1 is driving M3,drive,rating_causation,"{""Q0"":0}",[0],M1 is taking M3 somewhere,M3 is taking M1 somewhere
