rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
1563.9000000022352,Welcome to the experiment. Press Continue to begin.,0,Continue,Continue,html-button-response,0,1566,0.0-0.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
7874.5,NA,NA,NA,NA,external-html,1,10468,0.0-1.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,consent.html,NA,NA,NA,NA,NA,NA,NA,NA
3950.800000000745,"<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>",0,Continue,Continue,html-button-response,2,14419,0.0-2.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
40552.5,"<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>",0,Continue,Continue,html-button-response,3,55974,0.0-3.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,The police officer is arresting the robber,NA,NA,NA,html-keyboard-response,4,58977,0.0-4.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,null,NA,NA,NA,NA,NA,NA,NA
55980,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,Continue,Continue,html-button-response,5,114958,0.0-5.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
1781.800000000745,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,Continue,Continue,html-button-response,6,117742,0.0-6.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Luke is being challenged by Beth,NA,NA,NA,html-keyboard-response,7,120745,0.0-7.0-0.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,null,M3 is being challenged by W1,challenge3,sentence,NA,NA,NA,NA
6923.39999999851,NA,NA,NA,NA,survey-likert-extra-labels,8,127670,0.0-7.0-2.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,NA,M3 is being challenged by W1,challenge3,rating_volition,"{""Q0"":6}",[0],M3 wanted to challenge W1,W1 wanted to challenge M3
9920.70000000298,NA,NA,NA,NA,survey-likert-extra-labels,9,137592,0.0-7.0-3.0-0.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,NA,M3 is being challenged by W1,challenge3,rating_causation,"{""Q0"":6}",[0],M3 started challenging W1 first,W1 started challenging M3 first
null,Jane is being looked at by Beth,NA,NA,NA,html-keyboard-response,10,139594,0.0-8.0-0.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,null,W3 is being looked at by W1,look1,sentence,NA,NA,NA,NA
7578.199999999255,NA,NA,NA,NA,survey-likert-extra-labels,11,147173,0.0-8.0-2.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,NA,W3 is being looked at by W1,look1,rating_volition,"{""Q0"":0}",[0],W1 wanted to look at W3,W3 wanted to look at W1
4937.5,NA,NA,NA,NA,survey-likert-extra-labels,12,152112,0.0-8.0-3.0-0.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,NA,W3 is being looked at by W1,look1,rating_causation,"{""Q0"":0}",[0],W1 looked at W3 first,W3 looked at W1 first
null,Beth is being hugged by Jane,NA,NA,NA,html-keyboard-response,13,154114,0.0-9.0-0.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,null,W1 is being hugged by W3,hug1,sentence,NA,NA,NA,NA
3329.39999999851,NA,NA,NA,NA,survey-likert-extra-labels,14,157444,0.0-9.0-2.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,NA,W1 is being hugged by W3,hug1,rating_volition,"{""Q0"":6}",[0],W1 wanted to hug W3,W3 wanted to hug W1
6091.10000000149,NA,NA,NA,NA,survey-likert-extra-labels,15,163536,0.0-9.0-3.0-0.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,NA,W1 is being hugged by W3,hug1,rating_causation,"{""Q0"":4}",[0],W1 asked to hug W3,W3 asked to hug W1
null,Beth is being copied by Luke,NA,NA,NA,html-keyboard-response,16,165538,0.0-10.0-0.0,anomymised,65658117cda9c2da75aaa191,656609e034b7ff4f1a017d8e,92743,2A,man,NA,null,W1 is being copied by M3,copy4,sentence,NA,NA,NA,NA
