"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_race","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"null","正在联系",NA,"html-keyboard-response",56,346297,"0.0-13.0-2.6",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"12470.0000000001",NA,NA,"survey-text",57,358770,"0.0-13.0-3.6",35039,"ListA","man","black",NA,NA,NA,NA,"{""Q0"":""卢克正在联系弗雷""}","<img src='gifs/MaleRace1b.gif' style='height:400px;''></img>","联系","正在联系","chinese",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",58,359273,"0.0-13.0-0.7",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/BlackGender3b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",59,361276,"0.0-13.0-1.7",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","正在联系",NA,"html-keyboard-response",60,364278,"0.0-13.0-2.7",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"7925",NA,NA,"survey-text",61,372209,"0.0-13.0-3.7",35039,"ListA","man","black",NA,NA,NA,NA,"{""Q0"":""卢克正在联系霍普""}","<img src='gifs/BlackGender3b.gif' style='height:400px;''></img>","联系","正在联系","chinese",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",62,372711,"0.0-13.0-0.8",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/BlackGender2b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",63,374713,"0.0-13.0-1.8",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","正在跟随",NA,"html-keyboard-response",64,377720,"0.0-13.0-2.8",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"9264",NA,NA,"survey-text",65,386990,"0.0-13.0-3.8",35039,"ListA","man","black",NA,NA,NA,NA,"{""Q0"":""露丝正在跟随戴夫""}","<img src='gifs/BlackGender2b.gif' style='height:400px;''></img>","跟随","正在跟随","chinese",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",66,387492,"0.0-13.0-0.9",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/ChineseGender4a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",67,389499,"0.0-13.0-1.9",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","正在接近",NA,"html-keyboard-response",68,392502,"0.0-13.0-2.9",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
