"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"null","is accompanying",NA,"html-keyboard-response",80,580100,"0.0-13.0-2.12",16786,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"9219.599999994040",NA,NA,"survey-text",81,589323,"0.0-13.0-3.12",16786,"ListA","woman","english",NA,NA,NA,NA,"{""Q0"":""fred is accompanying dave""}","<img src='gifs/MaleRace2a.gif' style='height:400px;''></img>","accompanying","is accompanying","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",82,589833,"0.0-13.0-0.13",16786,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/ChineseGender1a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",83,591841,"0.0-13.0-1.13",16786,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is looking at",NA,"html-keyboard-response",84,594849,"0.0-13.0-2.13",16786,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"10124",NA,NA,"survey-text",85,604976,"0.0-13.0-3.13",16786,"ListA","woman","english",NA,NA,NA,NA,"{""Q0"":""fred is looking at kate""}","<img src='gifs/ChineseGender1a.gif' style='height:400px;''></img>","looking at","is looking at","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",86,605479,"0.0-13.0-0.14",16786,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/MaleRace1a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",87,607490,"0.0-13.0-1.14",16786,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is employing",NA,"html-keyboard-response",88,610498,"0.0-13.0-2.14",16786,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"8241.700000017880",NA,NA,"survey-text",89,618742,"0.0-13.0-3.14",16786,"ListA","woman","english",NA,NA,NA,NA,"{""Q0"":""fred is employing luke""}","<img src='gifs/MaleRace1a.gif' style='height:400px;''></img>","employing","is employing","english",NA
