"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"25330",NA,NA,"survey-text",265,1473657,"0.0-17.0-3.13",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,"{""Q0"":""ruth is introducing kate""}","<img src='gifs/FemaleRace4a.gif' style='height:400px;''></img>","introducing","is introducing","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",266,1474159,"0.0-17.0-0.14",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/ChineseGender1b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",267,1476162,"0.0-17.0-1.14",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is following",NA,"html-keyboard-response",268,1479163,"0.0-17.0-2.14",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"11360",NA,NA,"survey-text",269,1490526,"0.0-17.0-3.14",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,"{""Q0"":""luke is following jane""}","<img src='gifs/ChineseGender1b.gif' style='height:400px;''></img>","following","is following","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",270,1491037,"0.0-17.0-0.15",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/MaleRace2a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",271,1493038,"0.0-17.0-1.15",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is listening to",NA,"html-keyboard-response",272,1496044,"0.0-17.0-2.15",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"21177",NA,NA,"survey-text",273,1517224,"0.0-17.0-3.15",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,"{""Q0"":""mike is listening to luke""}","<img src='gifs/MaleRace2a.gif' style='height:400px;''></img>","listening to","is listening to","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",274,1517734,"0.0-17.0-0.16",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/BlackGender1a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",275,1519743,"0.0-17.0-1.16",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is contacting",NA,"html-keyboard-response",276,1522756,"0.0-17.0-2.16",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"18943",NA,NA,"survey-text",277,1541701,"0.0-17.0-3.16",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,"{""Q0"":""beth is contacting fred""}","<img src='gifs/BlackGender1a.gif' style='height:400px;''></img>","contacting","is contacting","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",278,1542207,"0.0-17.0-0.17",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/MaleRace4b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",279,1544219,"0.0-17.0-1.17",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is mentioning",NA,"html-keyboard-response",280,1547230,"0.0-17.0-2.17",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"12675",NA,NA,"survey-text",281,1559906,"0.0-17.0-3.17",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,"{""Q0"":""dave is mentioning mike""}","<img src='gifs/MaleRace4b.gif' style='height:400px;''></img>","mention","is mentioning","english",NA
"2057","<p>Thank you for completing that task.</p><p>The final part of this session is a short questionnaire.</p><p>Press Continue.</p>",0,"html-button-response",282,1561963,"0.0-18.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71461",NA,NA,"survey-text",283,1634438,"0.0-19.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,"{""Q0"":""20"",""Q1"":""chinese"",""Q2"":""chinese"",""Q3"":""英国"",""Q4"":""china"",""Q5"":""English"",""Q6"":""man""}",NA,NA,NA,NA,"demographics"
"1728","<p>Have you lived in the UK for the last 5 years or more?</p>",1,"html-button-response",284,1636167,"0.0-20.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fiveyears"
"1699",NA,NA,"external-html",285,1640660,"0.0-21.0",61164,"ListB","man","english","SW_E_M_B4","debrief.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15435",NA,NA,"survey-text",286,1656097,"0.0-22.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,"{""ptpt_id"":""SW_E_M_B4""}",NA,NA,NA,NA,"worker_id"
