"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"null","Kate is talking to Beth","","html-keyboard-response","28","1432945","0.0-14.0-0.0","15044","1B","woman","","null","W1 is talking to W3","talk1","sentence","","","",""
"12340","","","survey-likert-extra-labels","29","1445290","0.0-14.0-2.0","15044","1B","woman","","","W1 is talking to W3","talk1","rating_volition","{""Q0"":2}","[0]","W1 wanted to talk to W3","W3 wanted to talk to W1"
"8022","","","survey-likert-extra-labels","30","1453318","0.0-14.0-3.0-0.0","15044","1B","woman","","","W1 is talking to W3","talk1","rating_causation","{""Q0"":3}","[0]","W1 started a conversation with W3","W3 started a conversation with W1"
"null","Fred is driving Dave","","html-keyboard-response","31","1455322","0.0-15.0-0.0","15044","1B","woman","","null","M1 is driving M3","drive","sentence","","","",""
"14528","","","survey-likert-extra-labels","32","1469856","0.0-15.0-1.0-0.0","15044","1B","woman","","","M1 is driving M3","drive","rating_causation","{""Q0"":5}","[0]","M3 is taking M1 somewhere","M1 is taking M3 somewhere"
"6336","","","survey-likert-extra-labels","33","1476198","0.0-15.0-2.0","15044","1B","woman","","","M1 is driving M3","drive","rating_volition","{""Q0"":1}","[0]","M3 is M1's passenger","M1 is M3's passenger"
"null","Luke is dancing with Jane","","html-keyboard-response","34","1478203","0.0-16.0-0.0","15044","1B","woman","","null","M2 is dancing with W4","dance4","sentence","","","",""
"5356","","","survey-likert-extra-labels","35","1483565","0.0-16.0-2.0","15044","1B","woman","","","M2 is dancing with W4","dance4","rating_volition","{""Q0"":2}","[0]","M2 wanted to dance with W4","W4 wanted to dance with M2"
"3748","","","survey-likert-extra-labels","36","1487317","0.0-16.0-3.0-0.0","15044","1B","woman","","","M2 is dancing with W4","dance4","rating_causation","{""Q0"":3}","[0]","M2 asked W4 to dance","W4 asked M2 to dance"
"null","Kate is fighting with Dave","","html-keyboard-response","37","1489322","0.0-17.0-0.0","15044","1B","woman","","null","W1 is fighting with M3","fight4","sentence","","","",""
"2634","","","survey-likert-extra-labels","38","1491969","0.0-17.0-2.0","15044","1B","woman","","","W1 is fighting with M3","fight4","rating_volition","{""Q0"":3}","[0]","M3 wanted to fight W1","W1 wanted to fight M3"
"10394","","","survey-likert-extra-labels","39","1502368","0.0-17.0-3.0-0.0","15044","1B","woman","","","W1 is fighting with M3","fight4","rating_causation","{""Q0"":3}","[0]","M3 started the fight with W1","W1 started the fight with M3"
"null","Ruth is flirting with Jane","","html-keyboard-response","40","1504374","0.0-18.0-0.0","15044","1B","woman","","null","W2 is flirting with W4","flirt1","sentence","","","",""
"8196","","","survey-likert-extra-labels","41","1512575","0.0-18.0-2.0","15044","1B","woman","","","W2 is flirting with W4","flirt1","rating_volition","{""Q0"":1}","[0]","W2 wanted to flirt with W4","W4 wanted to flirt with W2"
"6871","","","survey-likert-extra-labels","42","1519453","0.0-18.0-3.0-0.0","15044","1B","woman","","","W2 is flirting with W4","flirt1","rating_causation","{""Q0"":2}","[0]","W2 started flirting with W4 first","W4 started flirting with W2 first"
"null","Ruth is talking to Mike","","html-keyboard-response","43","1521457","0.0-19.0-0.0","15044","1B","woman","","null","W2 is talking to M4","talk3","sentence","","","",""
"3240","","","survey-likert-extra-labels","44","1524701","0.0-19.0-1.0-0.0","15044","1B","woman","","","W2 is talking to M4","talk3","rating_causation","{""Q0"":3}","[0]","W2 started a conversation with M4","M4 started a conversation with W2"
"4310","","","survey-likert-extra-labels","45","1529016","0.0-19.0-2.0","15044","1B","woman","","","W2 is talking to M4","talk3","rating_volition","{""Q0"":3}","[0]","W2 wanted to talk to M4","M4 wanted to talk to W2"
"null","Fred is fighting with Beth","","html-keyboard-response","46","1531020","0.0-20.0-0.0","15044","1B","woman","","null","M1 is fighting with W3","fight3","sentence","","","",""
"4782.999999999884","","","survey-likert-extra-labels","47","1535810","0.0-20.0-1.0-0.0","15044","1B","woman","","","M1 is fighting with W3","fight3","rating_causation","{""Q0"":3}","[0]","W3 started the fight with M1","M1 started the fight with W3"
"2769","","","survey-likert-extra-labels","48","1538584","0.0-20.0-2.0","15044","1B","woman","","","M1 is fighting with W3","fight3","rating_volition","{""Q0"":3}","[0]","W3 wanted to fight M1","M1 wanted to fight W3"
"null","Beth is touching Fred","","html-keyboard-response","49","1540589","0.0-21.0-0.0","15044","1B","woman","","null","W3 is touching M1","touch3","sentence","","","",""
"4258.000000000116","","","survey-likert-extra-labels","50","1544854","0.0-21.0-2.0","15044","1B","woman","","","W3 is touching M1","touch3","rating_volition","{""Q0"":2}","[0]","W3 wanted to touch M1","M1 wanted to touch W3"
"5993","","","survey-likert-extra-labels","51","1550852","0.0-21.0-3.0-0.0","15044","1B","woman","","","W3 is touching M1","touch3","rating_causation","{""Q0"":2}","[0]","W3 asked to touch M1","M1 asked to touch W3"
"null","Ruth is teaching Mike","","html-keyboard-response","52","1552857","0.0-22.0-0.0","15044","1B","woman","","null","W2 is teaching M4","teach","sentence","","","",""
