"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"5129.000000015367","","","survey-likert-extra-labels","59","433088","0.0-24.0-2.0","55890","1B","man","","","W2 is dancing with M4","dance3","rating_volition","{""Q0"":0}","[0]","W2 wanted to dance with M4","M4 wanted to dance with W2"
"5141.8999999878","","","survey-likert-extra-labels","60","438232","0.0-24.0-3.0-0.0","55890","1B","man","","","W2 is dancing with M4","dance3","rating_causation","{""Q0"":1}","[0]","W2 asked M4 to dance","M4 asked W2 to dance"
"null","Luke is playing with Mike","","html-keyboard-response","61","440235","0.0-25.0-0.0","55890","1B","man","","null","M2 is playing with M4","play2","sentence","","","",""
"9315.000000002328","","","survey-likert-extra-labels","62","449551","0.0-25.0-1.0-0.0","55890","1B","man","","","M2 is playing with M4","play2","rating_causation","{""Q0"":0}","[0]","M2 asked to play with M4","M4 asked to play with M2"
"7881.799999973737","","","survey-likert-extra-labels","63","457435","0.0-25.0-2.0","55890","1B","man","","","M2 is playing with M4","play2","rating_volition","{""Q0"":0}","[0]","M2 wanted to play with M4","M4 wanted to play with M2"
"null","Mike is fighting with Luke","","html-keyboard-response","64","459438","0.0-26.0-0.0","55890","1B","man","","null","M4 is fighting with M2","fight2","sentence","","","",""
"4874.699999985751","","","survey-likert-extra-labels","65","464314","0.0-26.0-2.0","55890","1B","man","","","M4 is fighting with M2","fight2","rating_volition","{""Q0"":5}","[0]","M2 wanted to fight M4","M4 wanted to fight M2"
"11670.70000001695","","","survey-likert-extra-labels","66","475987","0.0-26.0-3.0-0.0","55890","1B","man","","","M4 is fighting with M2","fight2","rating_causation","{""Q0"":5}","[0]","M2 started the fight with M4","M4 started the fight with M2"
"null","Fred is marrying Beth","","html-keyboard-response","67","477989","0.0-27.0-0.0","55890","1B","man","","null","M1 is marrying W3","marry4","sentence","","","",""
"5789.199999999255","","","survey-likert-extra-labels","68","483781","0.0-27.0-2.0","55890","1B","man","","","M1 is marrying W3","marry4","rating_volition","{""Q0"":6}","[0]","W3 wanted to marry M1","M1 wanted to marry W3"
"5951.199999952223","","","survey-likert-extra-labels","69","489735","0.0-27.0-3.0-0.0","55890","1B","man","","","M1 is marrying W3","marry4","rating_causation","{""Q0"":6}","[0]","W3 asked to marry M1","M1 asked to marry W3"
"null","Fred is talking to Dave","","html-keyboard-response","70","491737","0.0-28.0-0.0","55890","1B","man","","null","M1 is talking to M3","talk2","sentence","","","",""
"6794.499999959953","","","survey-likert-extra-labels","71","498533","0.0-28.0-2.0","55890","1B","man","","","M1 is talking to M3","talk2","rating_volition","{""Q0"":0}","[0]","M1 wanted to talk to M3","M3 wanted to talk to M1"
"6335.599999991246","","","survey-likert-extra-labels","72","504871","0.0-28.0-3.0-0.0","55890","1B","man","","","M1 is talking to M3","talk2","rating_causation","{""Q0"":0}","[0]","M1 started a conversation with M3","M3 started a conversation with M1"
"null","Dave is hiring Kate","","html-keyboard-response","73","506873","0.0-29.0-0.0","55890","1B","man","","null","M3 is hiring W1","hire","sentence","","","",""
"6550.799999968149","","","survey-likert-extra-labels","74","513425","0.0-29.0-2.0","55890","1B","man","","","M3 is hiring W1","hire","rating_volition","{""Q0"":0}","[0]","M3 is employing W1","W1 is employing M3"
"4878.800000005867","","","survey-likert-extra-labels","75","518307","0.0-29.0-3.0-0.0","55890","1B","man","","","M3 is hiring W1","hire","rating_causation","{""Q0"":0}","[0]","M3 will work for W1","W1 will work for M3"
"null","Dave is touching Kate","","html-keyboard-response","76","520309","0.0-30.0-0.0","55890","1B","man","","null","M3 is touching W1","touch4","sentence","","","",""
"4122.600000002421","","","survey-likert-extra-labels","77","524433","0.0-30.0-2.0","55890","1B","man","","","M3 is touching W1","touch4","rating_volition","{""Q0"":0}","[0]","M3 wanted to touch W1","W1 wanted to touch M3"
"5277.600000030361","","","survey-likert-extra-labels","78","529712","0.0-30.0-3.0-0.0","55890","1B","man","","","M3 is touching W1","touch4","rating_causation","{""Q0"":0}","[0]","M3 asked to touch W1","W1 asked to touch M3"
"null","Kate is shouting at Beth","","html-keyboard-response","79","531715","0.0-31.0-0.0","55890","1B","man","","null","W1 is shouting at W3","shout1","sentence","","","",""
"6785.999999963678","","","survey-likert-extra-labels","80","538503","0.0-31.0-1.0-0.0","55890","1B","man","","","W1 is shouting at W3","shout1","rating_causation","{""Q0"":0}","[0]","W1 shouted at W3 first","W3 shouted at W1 first"
"9685.299999953713","","","survey-likert-extra-labels","81","548190","0.0-31.0-2.0","55890","1B","man","","","W1 is shouting at W3","shout1","rating_volition","{""Q0"":0}","[0]","W1 wanted to shout at W3","W3 wanted to shout at W1"
"null","Luke is posing for Mike","","html-keyboard-response","82","550192","0.0-32.0-0.0","55890","1B","man","","null","M2 is posing for M4","pose","sentence","","","",""
"11438.400000042748","","","survey-likert-extra-labels","83","561632","0.0-32.0-1.0-0.0","55890","1B","man","","","M2 is posing for M4","pose","rating_causation","{""Q0"":6}","[0]","M2 is photographing M4","M4 is photographing M2"
"6244.300000020303","","","survey-likert-extra-labels","84","567877","0.0-32.0-2.0","55890","1B","man","","","M2 is posing for M4","pose","rating_volition","{""Q0"":0}","[0]","M2 is modelling for M4","M4 is modelling for M2"
"null","Ruth is touching Jane","","html-keyboard-response","85","569880","0.0-33.0-0.0","55890","1B","man","","null","W2 is touching W4","touch1","sentence","","","",""
"6426.7000000108965","","","survey-likert-extra-labels","86","576308","0.0-33.0-1.0-0.0","55890","1B","man","","","W2 is touching W4","touch1","rating_causation","{""Q0"":0}","[0]","W2 asked to touch W4","W4 asked to touch W2"
"6136.100000003353","","","survey-likert-extra-labels","87","582447","0.0-33.0-2.0","55890","1B","man","","","W2 is touching W4","touch1","rating_volition","{""Q0"":0}","[0]","W2 wanted to touch W4","W4 wanted to touch W2"
"null","Beth is flirting with Fred","","html-keyboard-response","88","584449","0.0-34.0-0.0","55890","1B","man","","null","W3 is flirting with M1","flirt3","sentence","","","",""
"4802.099999971688","","","survey-likert-extra-labels","89","589253","0.0-34.0-2.0","55890","1B","man","","","W3 is flirting with M1","flirt3","rating_volition","{""Q0"":0}","[0]","W3 wanted to flirt with M1","M1 wanted to flirt with W3"
"4022.6000000257045","","","survey-likert-extra-labels","90","593277","0.0-34.0-3.0-0.0","55890","1B","man","","","W3 is flirting with M1","flirt3","rating_causation","{""Q0"":0}","[0]","W3 started flirting with M1 first","M1 started flirting with W3 first"
"null","Kate is chasing Beth","","html-keyboard-response","91","595280","0.0-35.0-0.0","55890","1B","man","","null","W1 is chasing W3","chase","sentence","","","",""
"10710.599999991246","","","survey-likert-extra-labels","92","605992","0.0-35.0-2.0","55890","1B","man","","","W1 is chasing W3","chase","rating_volition","{""Q0"":0}","[0]","W1 is behind W3","W3 is behind W1"
"6135.999999998603","","","survey-likert-extra-labels","93","612130","0.0-35.0-3.0-0.0","55890","1B","man","","","W1 is chasing W3","chase","rating_causation","{""Q0"":6}","[0]","W1 is running away from W3","W3 is running away from W1"
"null","Dave is kissing Fred","","html-keyboard-response","94","614132","0.0-36.0-0.0","55890","1B","man","","null","M3 is kissing M1","kiss2","sentence","","","",""
"5580.499999981839","","","survey-likert-extra-labels","95","619714","0.0-36.0-2.0","55890","1B","man","","","M3 is kissing M1","kiss2","rating_volition","{""Q0"":6}","[0]","M1 wanted to kiss M3","M3 wanted to kiss M1"
"6988.100000016857","","","survey-likert-extra-labels","96","626704","0.0-36.0-3.0-0.0","55890","1B","man","","","M3 is kissing M1","kiss2","rating_causation","{""Q0"":6}","[0]","M1 asked to kiss M3","M3 asked to kiss M1"
"null","Fred is fighting with Beth","","html-keyboard-response","97","628707","0.0-37.0-0.0","55890","1B","man","","null","M1 is fighting with W3","fight3","sentence","","","",""
"5546.200000040699","","","survey-likert-extra-labels","98","634254","0.0-37.0-1.0-0.0","55890","1B","man","","","M1 is fighting with W3","fight3","rating_causation","{""Q0"":6}","[0]","W3 started the fight with M1","M1 started the fight with W3"
"4878.900000010617","","","survey-likert-extra-labels","99","639135","0.0-37.0-2.0","55890","1B","man","","","M1 is fighting with W3","fight3","rating_volition","{""Q0"":4}","[0]","W3 wanted to fight M1","M1 wanted to fight W3"
"null","Kate is dancing with Beth","","html-keyboard-response","100","641138","0.0-38.0-0.0","55890","1B","man","","null","W1 is dancing with W3","dance1","sentence","","","",""
"4056.799999962095","","","survey-likert-extra-labels","101","645196","0.0-38.0-1.0-0.0","55890","1B","man","","","W1 is dancing with W3","dance1","rating_causation","{""Q0"":0}","[0]","W1 asked W3 to dance","W3 asked W1 to dance"
"3574.399999983143","","","survey-likert-extra-labels","102","648771","0.0-38.0-2.0","55890","1B","man","","","W1 is dancing with W3","dance1","rating_volition","{""Q0"":0}","[0]","W1 wanted to dance with W3","W3 wanted to dance with W1"
"null","Mike is arguing with Ruth","","html-keyboard-response","103","650774","0.0-39.0-0.0","55890","1B","man","","null","M4 is arguing with W2","argue3","sentence","","","",""
"6862.699999997858","","","survey-likert-extra-labels","104","657639","0.0-39.0-2.0","55890","1B","man","","","M4 is arguing with W2","argue3","rating_volition","{""Q0"":5}","[0]","W2 wanted to argue with M4","M4 wanted to argue with W2"
"5628.299999982119","","","survey-likert-extra-labels","105","663270","0.0-39.0-3.0-0.0","55890","1B","man","","","M4 is arguing with W2","argue3","rating_causation","{""Q0"":4}","[0]","W2 started an argument with M4","M4 started an argument with W2"
"null","Beth is feeding Fred","","html-keyboard-response","106","665272","0.0-40.0-0.0","55890","1B","man","","null","W3 is feeding M1","feed","sentence","","","",""
