"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"2655.4250000044703","","","survey-likert-extra-labels","41","398562","0.0-18.0-1.0-0.0","618","1A","man","","","W1 is fighting with M3","fight4","rating_causation","{""Q0"":3}","[0]","M3 started the fight with W1","W1 started the fight with M3"
"3671.4800000045216","","","survey-likert-extra-labels","42","402236","0.0-18.0-2.0","618","1A","man","","","W1 is fighting with M3","fight4","rating_volition","{""Q0"":3}","[0]","M3 wanted to fight W1","W1 wanted to fight M3"
"null","Jane is shouting at Dave","","html-keyboard-response","43","404239","0.0-19.0-0.0","618","1A","man","","null","W2 is shouting at M4","shout4","sentence","","","",""
"3114.7600000113016","","","survey-likert-extra-labels","44","407355","0.0-19.0-2.0","618","1A","man","","","W2 is shouting at M4","shout4","rating_volition","{""Q0"":3}","[0]","W2 wanted to shout at M4","M4 wanted to shout at W2"
"683170.1650000032","","","survey-likert-extra-labels","45","1090526","0.0-19.0-3.0-0.0","618","1A","man","","","W2 is shouting at M4","shout4","rating_causation","{""Q0"":3}","[0]","W2 shouted at M4 first","M4 shouted at W2 first"
"null","Fred is hiring Ruth","","html-keyboard-response","46","1092529","0.0-20.0-0.0","618","1A","man","","null","M3 is hiring W1","hire","sentence","","","",""
"6478.605000011157","","","survey-likert-extra-labels","47","1099009","0.0-20.0-1.0-0.0","618","1A","man","","","M3 is hiring W1","hire","rating_causation","{""Q0"":6}","[0]","M3 will work for W1","W1 will work for M3"
"7385.380000006873","","","survey-likert-extra-labels","48","1106398","0.0-20.0-2.0","618","1A","man","","","M3 is hiring W1","hire","rating_volition","{""Q0"":3}","[0]","M3 is employing W1","W1 is employing M3"
"null","Luke is marrying Kate","","html-keyboard-response","49","1108401","0.0-21.0-0.0","618","1A","man","","null","M1 is marrying W3","marry4","sentence","","","",""
"3168.974999993341","","","survey-likert-extra-labels","50","1111571","0.0-21.0-2.0","618","1A","man","","","M1 is marrying W3","marry4","rating_volition","{""Q0"":3}","[0]","W3 wanted to marry M1","M1 wanted to marry W3"
"3925.9549999989104","","","survey-likert-extra-labels","51","1115500","0.0-21.0-3.0-0.0","618","1A","man","","","M1 is marrying W3","marry4","rating_causation","{""Q0"":3}","[0]","W3 asked to marry M1","M1 asked to marry W3"
