rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
1748,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,1754,0.0-0.0,20209,List1A,white,woman,,,,,,,,
18052,,,external-html,1,21008,0.0-1.0,20209,List1A,white,woman,consent.html,,,,,,,
17688,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,38700,0.0-2.0,20209,List1A,white,woman,,,,,,,,
39716,"<img src='img/portrait_matrix_list1.JPG' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,79418,0.0-3.0-0.0,20209,List1A,white,woman,,,,,,,,
5262,"<img src=""portrait/WM2.jpg""style=""width:400px;height:400px;""></img>",7,html-button-response,4,85682,0.0-3.0-1.0,20209,List1A,white,woman,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,5,87186,0.0-3.0-2.0-0.0,20209,List1A,white,woman,,,,null,,,,
3901,"<img src=""portrait/WW1.jpg""style=""width:400px;height:400px;""></img>",1,html-button-response,6,91089,0.0-3.0-4.0,20209,List1A,white,woman,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,7,92590,0.0-3.0-5.0-0.0,20209,List1A,white,woman,,,,null,,,,
3337,"<img src=""portrait/BW1.jpg""style=""width:400px;height:400px;""></img>",0,html-button-response,8,95929,0.0-3.0-7.0,20209,List1A,white,woman,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,9,97431,0.0-3.0-8.0-0.0,20209,List1A,white,woman,,,,null,,,,
3190,"<img src=""portrait/WW2.jpg""style=""width:400px;height:400px;""></img>",3,html-button-response,10,100622,0.0-3.0-10.0,20209,List1A,white,woman,,TRUE,3,,,,,
null,CORRECT,,html-keyboard-response,11,102123,0.0-3.0-11.0-0.0,20209,List1A,white,woman,,,,null,,,,
2720,"<img src=""portrait/WM1.jpg""style=""width:400px;height:400px;""></img>",6,html-button-response,12,104845,0.0-3.0-13.0,20209,List1A,white,woman,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,13,106347,0.0-3.0-14.0-0.0,20209,List1A,white,woman,,,,null,,,,
3441,"<img src=""portrait/BM2.jpg""style=""width:400px;height:400px;""></img>",5,html-button-response,14,109789,0.0-3.0-16.0,20209,List1A,white,woman,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,15,111291,0.0-3.0-17.0-0.0,20209,List1A,white,woman,,,,null,,,,
5232,"<img src=""portrait/BW2.jpg""style=""width:400px;height:400px;""></img>",2,html-button-response,16,116525,0.0-3.0-19.0,20209,List1A,white,woman,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,17,118027,0.0-3.0-20.0-0.0,20209,List1A,white,woman,,,,null,,,,
2977,"<img src=""portrait/BM1.jpg""style=""width:400px;height:400px;""></img>",4,html-button-response,18,121005,0.0-3.0-22.0,20209,List1A,white,woman,,TRUE,4,,,,,
null,CORRECT,,html-keyboard-response,19,122507,0.0-3.0-23.0-0.0,20209,List1A,white,woman,,,,null,,,,
1056,<p>You got 8 out of 8 right first time. Press Continue.</p>,0,html-button-response,20,123565,0.0-3.0-25.0,20209,List1A,white,woman,,,,,,,,
21019,"<p>In this experiment, you will view photographs of the people from the memory game interacting.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing the interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example_v2.jpg' style='width:800px;height:460px;''></img>",0,html-button-response,21,145587,0.0-4.0,20209,List1A,white,woman,,,,,,,,
92213,"<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>",0,html-button-response,22,238803,0.0-5.0,20209,List1A,white,woman,,,,,,,,
null,<img src='img/speaking_WW.gif'></img>,,html-keyboard-response,23,241805,0.0-6.0,20209,List1A,white,woman,,,,null,,,,
null,<p>is speaking to</p>,,html-keyboard-response,24,243806,0.0-7.0,20209,List1A,white,woman,,,,null,,,,
2772,<p><b>Answer:</b> kate is speaking to beth</p>,0,html-button-response,25,246579,0.0-8.0,20209,List1A,white,woman,,,,,,,,
null,<img src='img/pointing_BM.gif'></img>,,html-keyboard-response,26,249581,0.0-9.0,20209,List1A,white,woman,,,,null,,,,
null,<p>are pointing at each other</p>,,html-keyboard-response,27,251582,0.0-10.0,20209,List1A,white,woman,,,,null,,,,
5298,<p><b>Answer:</b> luke and dave are pointing at each other</p>,0,html-button-response,28,256882,0.0-11.0,20209,List1A,white,woman,,,,,,,,
4149,"<p>Ready to start the experiment?</p><br><p><strong>Remember to describe the picture using a full sentence,</strong></p><p><strong> that combines the names of the people with the given phrase.</strong></p><p><strong> You do not need to capitalise names or use punctuation.</strong></p><br><p>Press 'Continue' to begin.</p>",0,html-button-response,29,262034,0.0-12.0,20209,List1A,white,woman,,,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,30,263536,0.0-13.0-0.0,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/marry7.gif""</stim_listA>",,html-keyboard-response,31,265539,0.0-13.0-1.0,20209,List1A,white,woman,,,,null,,,,
null,is marrying,,html-keyboard-response,32,267540,0.0-13.0-2.0,20209,List1A,white,woman,,,,null,,,,
6491,,,survey-text,33,274034,0.0-13.0-3.0,20209,List1A,white,woman,,,,,"{""Q0"":""ruth and beth are talking""}","<img src=""stim_listA/marry7.gif""</stim_listA>",is marrying,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,34,274536,0.0-13.0-0.1,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/hug6.gif""</stim_listA>",,html-keyboard-response,35,276538,0.0-13.0-1.1,20209,List1A,white,woman,,,,null,,,,
null,are hugging each other,,html-keyboard-response,36,278538,0.0-13.0-2.1,20209,List1A,white,woman,,,,null,,,,
6037,,,survey-text,37,284577,0.0-13.0-3.1,20209,List1A,white,woman,,,,,"{""Q0"":""mike and dave are hugging""}","<img src=""stim_listA/hug6.gif""</stim_listA>",are hugging each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,38,285079,0.0-13.0-0.2,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/argue5.gif""</stim_listA>",,html-keyboard-response,39,287081,0.0-13.0-1.2,20209,List1A,white,woman,,,,null,,,,
null,is arguing with,,html-keyboard-response,40,289082,0.0-13.0-2.2,20209,List1A,white,woman,,,,null,,,,
6598,,,survey-text,41,295680,0.0-13.0-3.2,20209,List1A,white,woman,,,,,"{""Q0"":""mike is arguing with dave""}","<img src=""stim_listA/argue5.gif""</stim_listA>",is arguing with,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,42,296182,0.0-13.0-0.3,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/kiss6.gif""</stim_listA>",,html-keyboard-response,43,298189,0.0-13.0-1.3,20209,List1A,white,woman,,,,null,,,,
null,are kissing each other,,html-keyboard-response,44,300190,0.0-13.0-2.3,20209,List1A,white,woman,,,,null,,,,
12734,,,survey-text,45,312924,0.0-13.0-3.3,20209,List1A,white,woman,,,,,"{""Q0"":""mike and dave are kissing each other""}","<img src=""stim_listA/kiss6.gif""</stim_listA>",are kissing each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,46,313426,0.0-13.0-0.4,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/talk8.gif""</stim_listA>",,html-keyboard-response,47,315428,0.0-13.0-1.4,20209,List1A,white,woman,,,,null,,,,
null,are talking to each other,,html-keyboard-response,48,317429,0.0-13.0-2.4,20209,List1A,white,woman,,,,null,,,,
8117,,,survey-text,49,325548,0.0-13.0-3.4,20209,List1A,white,woman,,,,,"{""Q0"":""ruth and beth are talking to each other""}","<img src=""stim_listA/talk8.gif""</stim_listA>",are talking to each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,50,326049,0.0-13.0-0.5,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/meet4.gif""</stim_listA>",,html-keyboard-response,51,328051,0.0-13.0-1.5,20209,List1A,white,woman,,,,null,,,,
null,are meeting each other,,html-keyboard-response,52,330052,0.0-13.0-2.5,20209,List1A,white,woman,,,,null,,,,
6030,,,survey-text,53,336083,0.0-13.0-3.5,20209,List1A,white,woman,,,,,"{""Q0"":""luke and ruth are meeting each other""}","<img src=""stim_listA/meet4.gif""</stim_listA>",are meeting each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,54,336585,0.0-13.0-0.6,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/fight8.gif""</stim_listA>",,html-keyboard-response,55,338587,0.0-13.0-1.6,20209,List1A,white,woman,,,,null,,,,
null,are fighting each other,,html-keyboard-response,56,340587,0.0-13.0-2.6,20209,List1A,white,woman,,,,null,,,,
7190,,,survey-text,57,347779,0.0-13.0-3.6,20209,List1A,white,woman,,,,,"{""Q0"":""ruth and beth are fighting""}","<img src=""stim_listA/fight8.gif""</stim_listA>",are fighting each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,58,348280,0.0-13.0-0.7,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/touch1.gif""</stim_listA>",,html-keyboard-response,59,350283,0.0-13.0-1.7,20209,List1A,white,woman,,,,null,,,,
null,is touching,,html-keyboard-response,60,352284,0.0-13.0-2.7,20209,List1A,white,woman,,,,null,,,,
5706,,,survey-text,61,357991,0.0-13.0-3.7,20209,List1A,white,woman,,,,,"{""Q0"":""mike and beth are touching""}","<img src=""stim_listA/touch1.gif""</stim_listA>",is touching,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,62,358493,0.0-13.0-0.8,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/touch6.gif""</stim_listA>",,html-keyboard-response,63,360495,0.0-13.0-1.8,20209,List1A,white,woman,,,,null,,,,
null,are touching each other,,html-keyboard-response,64,362496,0.0-13.0-2.8,20209,List1A,white,woman,,,,null,,,,
6198,,,survey-text,65,368694,0.0-13.0-3.8,20209,List1A,white,woman,,,,,"{""Q0"":""fred and luke are touching each other""}","<img src=""stim_listA/touch6.gif""</stim_listA>",are touching each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,66,369199,0.0-13.0-0.9,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/marry6.gif""</stim_listA>",,html-keyboard-response,67,371201,0.0-13.0-1.9,20209,List1A,white,woman,,,,null,,,,
null,are marrying each other,,html-keyboard-response,68,373203,0.0-13.0-2.9,20209,List1A,white,woman,,,,null,,,,
9505,,,survey-text,69,382710,0.0-13.0-3.9,20209,List1A,white,woman,,,,,"{""Q0"":""dave and fred are marrying each other""}","<img src=""stim_listA/marry6.gif""</stim_listA>",are marrying each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,70,383211,0.0-13.0-0.10,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/dance3.gif""</stim_listA>",,html-keyboard-response,71,385213,0.0-13.0-1.10,20209,List1A,white,woman,,,,null,,,,
null,is dancing with,,html-keyboard-response,72,387214,0.0-13.0-2.10,20209,List1A,white,woman,,,,null,,,,
4854,,,survey-text,73,392069,0.0-13.0-3.10,20209,List1A,white,woman,,,,,"{""Q0"":""luke is dancing with jane""}","<img src=""stim_listA/dance3.gif""</stim_listA>",is dancing with,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,74,392571,0.0-13.0-0.11,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/kiss5.gif""</stim_listA>",,html-keyboard-response,75,394573,0.0-13.0-1.11,20209,List1A,white,woman,,,,null,,,,
null,is kissing,,html-keyboard-response,76,396574,0.0-13.0-2.11,20209,List1A,white,woman,,,,null,,,,
6373,,,survey-text,77,402949,0.0-13.0-3.11,20209,List1A,white,woman,,,,,"{""Q0"":""fred is kissing luke""}","<img src=""stim_listA/kiss5.gif""</stim_listA>",is kissing,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,78,403450,0.0-13.0-0.12,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/meet2.gif""</stim_listA>",,html-keyboard-response,79,405452,0.0-13.0-1.12,20209,List1A,white,woman,,,,null,,,,
null,are meeting each other,,html-keyboard-response,80,407453,0.0-13.0-2.12,20209,List1A,white,woman,,,,null,,,,
6214,,,survey-text,81,413668,0.0-13.0-3.12,20209,List1A,white,woman,,,,,"{""Q0"":""fred and beth are meeting each other""}","<img src=""stim_listA/meet2.gif""</stim_listA>",are meeting each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,82,414170,0.0-13.0-0.13,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/fight5.gif""</stim_listA>",,html-keyboard-response,83,416508,0.0-13.0-1.13,20209,List1A,white,woman,,,,null,,,,
null,is fighting,,html-keyboard-response,84,418514,0.0-13.0-2.13,20209,List1A,white,woman,,,,null,,,,
7517,,,survey-text,85,426032,0.0-13.0-3.13,20209,List1A,white,woman,,,,,"{""Q0"":""mike and beth are fighting""}","<img src=""stim_listA/fight5.gif""</stim_listA>",is fighting,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,86,426534,0.0-13.0-0.14,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/marry3.gif""</stim_listA>",,html-keyboard-response,87,428536,0.0-13.0-1.14,20209,List1A,white,woman,,,,null,,,,
null,is marrying,,html-keyboard-response,88,430537,0.0-13.0-2.14,20209,List1A,white,woman,,,,null,,,,
6485,,,survey-text,89,437023,0.0-13.0-3.14,20209,List1A,white,woman,,,,,"{""Q0"":""dave is marrying ruth""}","<img src=""stim_listA/marry3.gif""</stim_listA>",is marrying,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,90,437524,0.0-13.0-0.15,20209,List1A,white,woman,,,,null,,,,
null,"<img src=""stim_listA/meet7.gif""</stim_listA>",,html-keyboard-response,91,439525,0.0-13.0-1.15,20209,List1A,white,woman,,,,null,,,,
null,is meeting,,html-keyboard-response,92,441526,0.0-13.0-2.15,20209,List1A,white,woman,,,,null,,,,
4527,,,survey-text,93,446055,0.0-13.0-3.15,20209,List1A,white,woman,,,,,"{""Q0"":""kate is meeting jane""}","<img src=""stim_listA/meet7.gif""</stim_listA>",is meeting,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,94,446555,0.0-13.0-0.16,20209,List1A,white,woman,,,,null,,,,
